#TYPE System.Collections.DictionaryEntry
"Name","Key","Value"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_0_41","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_0_41","4"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_1_90","https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_1_90","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_1_59","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_1_59","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_9_18","https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_9_18","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_4_39","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_4_39","4"
"https://cloudnativebackup.sharepoint.com/sites/grp3_scale_50uLp_3_16","https://cloudnativebackup.sharepoint.com/sites/grp3_scale_50uLp_3_16","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_3_84","https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_3_84","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_3_96","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_3_96","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_x50ch_1_11","https://cloudnativebackup.sharepoint.com/sites/grp_scale_x50ch_1_11","4"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_5_1","https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_5_1","2"
"https://cloudnativebackup.sharepoint.com/sites/RootLevelTeamClassicSite2470","https://cloudnativebackup.sharepoint.com/sites/RootLevelTeamClassicSite2470","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_47xtb_5_7","https://cloudnativebackup.sharepoint.com/sites/grp_scale_47xtb_5_7","2"
"https://cloudnativebackup.sharepoint.com/sites/RootLevelSite192","https://cloudnativebackup.sharepoint.com/sites/RootLevelSite192","2"
"https://cloudnativebackup.sharepoint.com/sites/grp2_scale_Lk8Ln_1_65","https://cloudnativebackup.sharepoint.com/sites/grp2_scale_Lk8Ln_1_65","2"
"https://cloudnativebackup.sharepoint.com/sites/RootLevelSite230","https://cloudnativebackup.sharepoint.com/sites/RootLevelSite230","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_6_37","https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_6_37","3"
"https://cloudnativebackup.sharepoint.com/sites/grp3_scale_50uLp_3_75","https://cloudnativebackup.sharepoint.com/sites/grp3_scale_50uLp_3_75","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_5_71","https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_5_71","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_3_108","https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_3_108","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_4_34","https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_4_34","4"
"https://cloudnativebackup.sharepoint.com/sites/RootLevelCommSite214","https://cloudnativebackup.sharepoint.com/sites/RootLevelCommSite214","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_8_26","https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_8_26","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_4_74","https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_4_74","5"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_x50ch_2_19","https://cloudnativebackup.sharepoint.com/sites/grp_scale_x50ch_2_19","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_1_8","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_1_8","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_6_15","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sC1y9_6_15","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_3_33","https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_3_33","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_4_82","https://cloudnativebackup.sharepoint.com/sites/grp_scale_99vcq_4_82","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_1_41","https://cloudnativebackup.sharepoint.com/sites/grp_scale_ysDXp_1_41","3"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_7_29","https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_7_29","5"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_SAEFr_3_8","https://cloudnativebackup.sharepoint.com/sites/grp_scale_SAEFr_3_8","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_6_16","https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_6_16","4"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_1_11","https://cloudnativebackup.sharepoint.com/sites/grp_scale_Z9rLN_1_11","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_9_47","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_9_47","4"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_8_16","https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_8_16","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_7_85","https://cloudnativebackup.sharepoint.com/sites/grp_scale_l3n2r_7_85","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_3_25","https://cloudnativebackup.sharepoint.com/sites/grp_scale_5MpIF_3_25","2"
"https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_0_39","https://cloudnativebackup.sharepoint.com/sites/grp_scale_sxDgL_0_39","5"
